STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP
43279099999,01-01-2019,12.994414,80.180517,15.84,"CHENNAI INTERNATIONAL, IN",74.9,24,63,24,NaN,0,NaN,0,3,24,5.4,24,12,18.1,82.9,64,0
43279099999,02-01-2019,12.994414,80.180517,15.84,"CHENNAI INTERNATIONAL, IN",75.9,24,65.7,24,NaN,0,NaN,0,3,24,4.2,24,12,NaN,84.2,66.7,0
43279099999,03-01-2019,12.994414,80.180517,15.84,"CHENNAI INTERNATIONAL, IN",75.9,24,66.5,24,NaN,0,NaN,0,2,24,5,24,9.9,NaN,86,66.6,0
43279099999,04-01-2019,12.994414,80.180517,15.84,"CHENNAI INTERNATIONAL, IN",76.5,24,66.9,24,NaN,0,NaN,0,2.5,24,5.1,24,13,NaN,86,67.3,0
43279099999,05-01-2019,12.994414,80.180517,15.84,"CHENNAI INTERNATIONAL, IN",76.6,24,67.2,24,NaN,0,NaN,0,2.5,24,4,24,11.1,NaN,85.1,67.8,0
43279099999,06-01-2019,12.994414,80.180517,15.84,"CHENNAI INTERNATIONAL, IN",77,24,66.7,24,NaN,0,NaN,0,2.5,24,3.9,24,9.9,NaN,86,68,0
43279099999,07-01-2019,12.994414,80.180517,15.84,"CHENNAI INTERNATIONAL, IN",76.8,24,68.7,24,NaN,0,NaN,0,2.6,24,4,24,11.1,NaN,86.7,69.1,0
43279099999,08-01-2019,12.994414,80.180517,15.84,"CHENNAI INTERNATIONAL, IN",76.6,24,67.6,24,NaN,0,NaN,0,2.1,24,4.4,24,13,NaN,87.1,68,0
43279099999,09-01-2019,12.994414,80.180517,15.84,"CHENNAI INTERNATIONAL, IN",76.5,24,66.1,24,NaN,0,NaN,0,2.5,24,4.6,24,8.9,NaN,87.1,64.8,0
43279099999,10-01-2019,12.994414,80.180517,15.84,"CHENNAI INTERNATIONAL, IN",76.9,24,68.2,24,NaN,0,NaN,0,2.6,24,4.5,24,12,NaN,86.2,67.3,0
43279099999,11-01-2019,12.994414,80.180517,15.84,"CHENNAI INTERNATIONAL, IN",77.3,24,68.1,24,NaN,0,NaN,0,2.2,24,5,24,12,NaN,86,69.1,0
43279099999,12-01-2019,12.994414,80.180517,15.84,"CHENNAI INTERNATIONAL, IN",77.1,24,66.7,24,NaN,0,NaN,0,2.7,24,4.8,24,12,NaN,85.6,66.9,0
43279099999,13-01-2019,12.994414,80.180517,15.84,"CHENNAI INTERNATIONAL, IN",76.9,24,66.6,24,NaN,0,NaN,0,2.7,24,4.5,24,11.1,NaN,85.6,68.5,0
43279099999,14-01-2019,12.994414,80.180517,15.84,"CHENNAI INTERNATIONAL, IN",76.9,24,65.8,24,NaN,0,NaN,0,2.3,24,4.4,24,9.9,NaN,86,68.9,0
43279099999,15-01-2019,12.994414,80.180517,15.84,"CHENNAI INTERNATIONAL, IN",76.4,24,68.6,24,NaN,0,NaN,0,2.2,24,5.3,24,12,NaN,85.1,66.9,0
43279099999,16-01-2019,12.994414,80.180517,15.84,"CHENNAI INTERNATIONAL, IN",77.1,24,69.4,24,NaN,0,NaN,0,2.1,24,4.3,24,11.1,NaN,86,68.5,0
43279099999,17-01-2019,12.994414,80.180517,15.84,"CHENNAI INTERNATIONAL, IN",77.3,24,70,24,NaN,0,NaN,0,1.7,24,4.9,24,12,NaN,86,68.4,0
43279099999,18-01-2019,12.994414,80.180517,15.84,"CHENNAI INTERNATIONAL, IN",77.2,24,67.2,24,NaN,0,NaN,0,2,24,4.5,24,12,NaN,84.2,67.6,0
43279099999,19-01-2019,12.994414,80.180517,15.84,"CHENNAI INTERNATIONAL, IN",76.3,24,66.8,24,NaN,0,NaN,0,2.9,24,5.4,24,12,NaN,87.4,68,0
43279099999,20-01-2019,12.994414,80.180517,15.84,"CHENNAI INTERNATIONAL, IN",76.2,24,68.1,24,NaN,0,NaN,0,2.5,24,4.3,24,9.9,NaN,84.7,66.7,0
43279099999,21-01-2019,12.994414,80.180517,15.84,"CHENNAI INTERNATIONAL, IN",76,24,67.1,24,NaN,0,NaN,0,2.3,24,4.2,24,9.9,NaN,84.4,68.2,0
43279099999,22-01-2019,12.994414,80.180517,15.84,"CHENNAI INTERNATIONAL, IN",77.1,24,68.7,24,NaN,0,NaN,0,3,24,4.8,24,9.9,NaN,84.2,67.3,0
